output_dir ./models/train_dataset
Map: 100%|███████████████████████████████████████████████████████████████████| 64359/64359 [00:46<00:00, 1396.08 examples/s]
Map: 100%|████████████████████████████████████████████████████████████████████████| 240/240 [00:00<00:00, 497.77 examples/s]
10/23/2024 15:22:22 - WARNING - accelerate.utils.other -   Detected kernel version 5.4.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
                                                                                                                            
{'loss': 0.9401, 'grad_norm': 34.19237518310547, 'learning_rate': 1.9999935338759674e-05, 'epoch': 0.0}
{'loss': 0.7821, 'grad_norm': 10.150961875915527, 'learning_rate': 1.9999741355874902e-05, 'epoch': 0.01}
{'loss': 0.6621, 'grad_norm': 40.944114685058594, 'learning_rate': 1.9999418053854324e-05, 'epoch': 0.01}
{'loss': 0.5496, 'grad_norm': 13.190736770629883, 'learning_rate': 1.9998965436878964e-05, 'epoch': 0.01}
{'loss': 0.6181, 'grad_norm': 12.301555633544922, 'learning_rate': 1.9998383510802174e-05, 'epoch': 0.02}
{'loss': 0.4999, 'grad_norm': 9.148002624511719, 'learning_rate': 1.9997672283149562e-05, 'epoch': 0.02}
{'loss': 0.7172, 'grad_norm': 7.8034987449646, 'learning_rate': 1.999683176311891e-05, 'epoch': 0.02}
{'loss': 0.6468, 'grad_norm': 12.626269340515137, 'learning_rate': 1.9995861961580024e-05, 'epoch': 0.03}
{'loss': 0.5556, 'grad_norm': 14.064766883850098, 'learning_rate': 1.9994762891074618e-05, 'epoch': 0.03}
{'loss': 0.5905, 'grad_norm': 15.173555374145508, 'learning_rate': 1.999353456581615e-05, 'epoch': 0.03}
{'loss': 0.6091, 'grad_norm': 4.897480487823486, 'learning_rate': 1.9992177001689623e-05, 'epoch': 0.04}
{'loss': 0.5843, 'grad_norm': 12.29813289642334, 'learning_rate': 1.9990690216251395e-05, 'epoch': 0.04}
{'loss': 0.4779, 'grad_norm': 7.346120834350586, 'learning_rate': 1.9989074228728942e-05, 'epoch': 0.04}
{'loss': 0.6174, 'grad_norm': 11.405430793762207, 'learning_rate': 1.9987329060020616e-05, 'epoch': 0.05}
{'loss': 0.527, 'grad_norm': 11.157435417175293, 'learning_rate': 1.9985454732695376e-05, 'epoch': 0.05}
{'loss': 0.6319, 'grad_norm': 8.413312911987305, 'learning_rate': 1.998345127099248e-05, 'epoch': 0.05}
{'loss': 0.5767, 'grad_norm': 12.113093376159668, 'learning_rate': 1.9981318700821197e-05, 'epoch': 0.06}
{'loss': 0.5651, 'grad_norm': 10.50711727142334, 'learning_rate': 1.997905704976045e-05, 'epoch': 0.06}
{'loss': 0.5036, 'grad_norm': 26.30350685119629, 'learning_rate': 1.9976666347058477e-05, 'epoch': 0.07}
{'loss': 0.5619, 'grad_norm': 9.456867218017578, 'learning_rate': 1.9974146623632434e-05, 'epoch': 0.07}
{'loss': 0.4727, 'grad_norm': 12.668312072753906, 'learning_rate': 1.9971497912068014e-05, 'epoch': 0.07}
{'loss': 0.4819, 'grad_norm': 11.072722434997559, 'learning_rate': 1.9968720246619005e-05, 'epoch': 0.08}
{'loss': 0.5104, 'grad_norm': 7.465420246124268, 'learning_rate': 1.996581366320687e-05, 'epoch': 0.08}
{'loss': 0.6952, 'grad_norm': 10.428370475769043, 'learning_rate': 1.9962778199420265e-05, 'epoch': 0.08}
{'loss': 0.5666, 'grad_norm': 6.754733085632324, 'learning_rate': 1.9959613894514565e-05, 'epoch': 0.09}
{'loss': 0.57, 'grad_norm': 13.557331085205078, 'learning_rate': 1.9956320789411338e-05, 'epoch': 0.09}
{'loss': 0.4774, 'grad_norm': 6.572533130645752, 'learning_rate': 1.9952898926697847e-05, 'epoch': 0.09}
{'loss': 0.5908, 'grad_norm': 6.336313724517822, 'learning_rate': 1.9949348350626456e-05, 'epoch': 0.1}
{'loss': 0.5547, 'grad_norm': 13.158357620239258, 'learning_rate': 1.9945669107114106e-05, 'epoch': 0.1}
{'loss': 0.6065, 'grad_norm': 7.834115982055664, 'learning_rate': 1.9941861243741685e-05, 'epoch': 0.1}
{'loss': 0.5443, 'grad_norm': 13.648833274841309, 'learning_rate': 1.9937924809753425e-05, 'epoch': 0.11}
{'loss': 0.4004, 'grad_norm': 11.754557609558105, 'learning_rate': 1.9933859856056264e-05, 'epoch': 0.11}
{'loss': 0.5032, 'grad_norm': 11.09740161895752, 'learning_rate': 1.99296664352192e-05, 'epoch': 0.11}
{'loss': 0.4496, 'grad_norm': 7.882267475128174, 'learning_rate': 1.9925344601472584e-05, 'epoch': 0.12}
{'loss': 0.5368, 'grad_norm': 8.152925491333008, 'learning_rate': 1.9920894410707446e-05, 'epoch': 0.12}
{'loss': 0.5548, 'grad_norm': 9.68165397644043, 'learning_rate': 1.991631592047475e-05, 'epoch': 0.12}
{'loss': 0.5002, 'grad_norm': 8.738333702087402, 'learning_rate': 1.9911609189984674e-05, 'epoch': 0.13}
{'loss': 0.4254, 'grad_norm': 7.768543243408203, 'learning_rate': 1.9906774280105826e-05, 'epoch': 0.13}
{'loss': 0.5426, 'grad_norm': 11.489697456359863, 'learning_rate': 1.9901811253364458e-05, 'epoch': 0.13}
{'loss': 0.5943, 'grad_norm': 10.46894359588623, 'learning_rate': 1.9896720173943657e-05, 'epoch': 0.14}
{'loss': 0.5592, 'grad_norm': 6.088712215423584, 'learning_rate': 1.9891501107682533e-05, 'epoch': 0.14}
{'loss': 0.5263, 'grad_norm': 8.932011604309082, 'learning_rate': 1.9886154122075344e-05, 'epoch': 0.14}
{'loss': 0.4988, 'grad_norm': 11.175211906433105, 'learning_rate': 1.988067928627063e-05, 'epoch': 0.15}
{'loss': 0.5125, 'grad_norm': 10.183972358703613, 'learning_rate': 1.987507667107033e-05, 'epoch': 0.15}
{'loss': 0.5102, 'grad_norm': 7.622348785400391, 'learning_rate': 1.9869346348928852e-05, 'epoch': 0.15}
{'loss': 0.538, 'grad_norm': 16.728450775146484, 'learning_rate': 1.986348839395214e-05, 'epoch': 0.16}
{'loss': 0.5, 'grad_norm': 16.91973876953125, 'learning_rate': 1.985750288189673e-05, 'epoch': 0.16}
{'loss': 0.5764, 'grad_norm': 12.609724998474121, 'learning_rate': 1.9851389890168738e-05, 'epoch': 0.16}
{'loss': 0.5304, 'grad_norm': 10.20042610168457, 'learning_rate': 1.9845149497822898e-05, 'epoch': 0.17}
{'loss': 0.618, 'grad_norm': 9.738068580627441, 'learning_rate': 1.983878178556151e-05, 'epoch': 0.17}
{'loss': 0.4665, 'grad_norm': 10.54019546508789, 'learning_rate': 1.9832286835733404e-05, 'epoch': 0.18}
{'loss': 0.5209, 'grad_norm': 8.654955863952637, 'learning_rate': 1.9825664732332886e-05, 'epoch': 0.18}
{'loss': 0.5716, 'grad_norm': 8.049635887145996, 'learning_rate': 1.9818915560998637e-05, 'epoch': 0.18}
{'loss': 0.5392, 'grad_norm': 6.465688228607178, 'learning_rate': 1.981203940901262e-05, 'epoch': 0.19}
{'loss': 0.5159, 'grad_norm': 7.82650899887085, 'learning_rate': 1.9805036365298933e-05, 'epoch': 0.19}
{'loss': 0.5084, 'grad_norm': 9.057109832763672, 'learning_rate': 1.979790652042268e-05, 'epoch': 0.19}
{'loss': 0.4558, 'grad_norm': 8.115815162658691, 'learning_rate': 1.979064996658878e-05, 'epoch': 0.2}
{'loss': 0.5791, 'grad_norm': 12.118751525878906, 'learning_rate': 1.9783266797640787e-05, 'epoch': 0.2}
{'loss': 0.4904, 'grad_norm': 6.7523417472839355, 'learning_rate': 1.977575710905967e-05, 'epoch': 0.2}
{'loss': 0.4499, 'grad_norm': 12.23682689666748, 'learning_rate': 1.9768120997962593e-05, 'epoch': 0.21}
{'loss': 0.5944, 'grad_norm': 11.31511402130127, 'learning_rate': 1.9760358563101635e-05, 'epoch': 0.21}
{'loss': 0.5996, 'grad_norm': 8.547481536865234, 'learning_rate': 1.975246990486253e-05, 'epoch': 0.21}
{'loss': 0.3744, 'grad_norm': 8.639533996582031, 'learning_rate': 1.974445512526336e-05, 'epoch': 0.22}
{'loss': 0.5667, 'grad_norm': 11.354362487792969, 'learning_rate': 1.9736314327953242e-05, 'epoch': 0.22}
{'loss': 0.4383, 'grad_norm': 9.760205268859863, 'learning_rate': 1.9728047618210995e-05, 'epoch': 0.22}
{'loss': 0.5308, 'grad_norm': 10.94281005859375, 'learning_rate': 1.9719655102943753e-05, 'epoch': 0.23}
{'loss': 0.4646, 'grad_norm': 10.794626235961914, 'learning_rate': 1.9711136890685604e-05, 'epoch': 0.23}
{'loss': 0.5885, 'grad_norm': 13.868393898010254, 'learning_rate': 1.970249309159619e-05, 'epoch': 0.23}
{'loss': 0.4277, 'grad_norm': 9.90093994140625, 'learning_rate': 1.9693723817459257e-05, 'epoch': 0.24}
{'loss': 0.5251, 'grad_norm': 14.342756271362305, 'learning_rate': 1.9684829181681236e-05, 'epoch': 0.24}
